"","y","x1","x2","x3","x4","x5","x6","x7","x8","x9"
"298",1,-3.49,-0.474,0.187,1.747,0.733,1.307,-0.816,-0.787,-0.222
"419",1,-3.661,0.3,0.53,1.816,0.333,0.444,-0.858,-0.732,-0.809
"232",1,-2.453,-0.32,-1.368,1.04,0.174,1.985,0.158,0.59,-1.318
"452",1,-3.5,0.068,0.533,1.876,0.363,0.542,-0.982,-0.671,-1.006
"309",1,-2.852,-0.805,-0.313,1.565,0.688,1.467,-0.664,-0.916,-0.279
"254",1,-2.391,-0.347,-1.474,0.843,0.089,2.021,0.417,0.502,-0.86
"199",1,-2.463,-0.197,-1.264,1.15,0.234,1.833,0.066,0.738,-1.382
"375",1,-4.754,1.329,1.09,1.765,0.217,-0.198,-0.782,-0.154,0.023
"144",1,-4.052,0.35,-0.314,1.734,0.127,1.667,0.512,-0.377,-0.358
"1",1,-1.149,-0.904,-1.988,0.739,-0.06,1.206,0.864,1.196,-0.3
"387",2,-3.917,1.925,0.267,1.361,0.453,-0.19,-0.242,-0.633,-0.62
"321",2,-3.498,1.669,0.076,1.53,0.38,-0.135,-0.814,-0.208,-0.307
"79",2,-3.339,1.004,-0.747,1.505,-0.068,1.007,-0.017,0.377,-0.775
"288",2,-3.266,0.577,-0.261,1.481,0.874,0.301,-0.496,-0.012,-0.623
"354",2,-3.999,2.138,0.295,1.086,0.699,-0.127,-0.634,-0.4,-0.505
"35",2,-1.358,0.136,-1.082,-0.148,-0.609,1.464,0.144,1.149,0.481
"46",2,-1.53,0.029,-0.925,0.054,-0.565,1.593,0.123,1.117,0.338
"332",2,-4.057,1.925,0.521,1.331,0.273,-0.167,-0.365,-0.665,-0.512
"420",2,-3.674,1.513,0.038,1.604,0.907,1.045,-0.166,-0.295,-1.13
"112",2,-3.711,1.377,-0.584,1.428,-0.033,1.062,-0.127,0.328,-1.092
"36",3,-2.594,0.621,-0.292,0.521,0.26,1.204,-0.337,0.261,-0.332
"212",3,-2.207,1.09,-0.627,0.024,0.912,0.662,0.241,0.348,-0.702
"267",3,-2.814,1.515,-0.088,0.597,-0.033,-0.29,-0.445,0.113,-0.136
"278",3,-2.64,1.322,-0.111,0.861,0.026,-0.354,-0.425,0.083,-0.235
"14",3,-2.633,0.672,-0.372,0.439,0.437,0.907,-0.402,-0.04,-0.366
"80",3,-2.008,0.785,-1.489,0.654,-0.685,0.313,-0.085,0.856,-0.516
"256",3,-2.385,1.01,-0.754,0.37,0.785,0.471,0.415,0.318,-0.797
"344",3,-2.972,1.151,-0.293,1.609,-0.724,0.123,-0.087,-0.801,0.04
"25",3,-2.677,0.486,-0.061,0.517,0.222,1.102,-0.425,-0.096,-0.373
"124",3,-2.029,0.698,-1.482,0.813,-0.681,0.422,0.016,0.751,-0.3
"389",4,-3.341,1.714,-0.773,0.771,-0.976,0.625,0.078,-0.438,-0.084
"246",4,-2.147,1.655,-0.355,-0.082,-0.194,0.296,0.146,-0.083,-0.314
"345",4,-3.029,1.747,-0.899,0.674,-1.046,0.558,0.204,-0.155,-0.237
"356",4,-3.053,1.518,-0.729,0.828,-1.211,0.499,0.326,-0.136,-0.263
"378",4,-3.194,1.589,-0.774,0.814,-1.087,0.618,0.218,-0.45,-0.003
"268",4,-2.027,2.157,-0.297,-0.211,-0.266,0.086,-0.176,-0.179,-0.283
"4",4,-1.768,1.769,-1.142,-0.739,-0.086,0.12,-0.23,0.217,-0.009
"158",4,-2.303,1.954,-1.493,0.305,0.047,0.056,0.026,0.902,-0.522
"191",4,-2.45,1.993,-1.08,-0.09,0.367,0.324,-0.164,0.684,-0.181
"136",4,-2.482,1.896,-1.289,0.112,0.285,0.096,0.022,0.832,-0.333
"423",5,-3.052,3.059,-1.668,-0.208,0.466,0.724,-0.237,-0.175,-0.315
"258",5,-2.706,2.07,-0.691,0.31,-0.745,0.266,-0.413,0.602,0.36
"104",5,-2.797,2.706,-1.936,0.147,-0.921,1.24,-0.082,-0.006,-0.214
"159",5,-2.79,2.665,0.036,-0.44,-0.604,0.811,0.098,0.723,0.134
"49",5,-3.038,2.475,0.024,0.508,-0.737,-0.102,-0.358,0.706,0.6
"203",5,-2.565,1.871,-0.269,0.187,-0.656,0.267,-0.328,0.184,0.348
"313",5,-2.411,3.85,-1.405,-0.302,-0.398,1.069,0.216,-0.291,-1.116
"236",5,-2.723,1.975,-0.636,0.336,-0.677,0.156,-0.342,0.479,0.381
"412",5,-3.074,3.062,-1.47,-0.379,0.233,0.789,-0.099,-0.135,-0.395
"291",5,-2.305,3.625,-1.203,-0.665,-0.296,0.775,0.197,-0.282,-0.842
"281",6,-2.489,2.401,-0.44,-0.367,-0.069,0.533,0.011,0.118,-0.621
"6",6,-2.509,1.326,0.354,0.663,-0.724,0.418,-0.496,0.713,0.638
"149",6,-2.464,2.755,-0.975,-0.651,0.158,1.047,-0.145,0.203,0.246
"391",6,-3.567,2.081,-0.579,0.845,0.126,0.381,-0.179,-0.51,-0.846
"160",6,-2.445,2.678,-0.816,-0.743,0.076,1.117,-0.057,0.018,0.281
"83",6,-2.538,2.351,-1.029,0.146,-0.922,0.201,-0.058,0.835,-0.712
"380",6,-3.456,2.027,-0.862,0.887,0.281,0.435,-0.307,-0.387,-0.6
"248",6,-2.729,1.595,-0.15,0.167,0.015,0.377,0.083,-0.038,0.166
"292",6,-2.489,2.379,-0.523,-0.158,-0.178,0.406,0.198,0.059,-0.589
"182",6,-2.505,2.358,-0.184,-0.792,-0.316,1.363,0.302,-0.121,0.214
"51",7,-2.71,0.809,0.754,1.903,-0.764,0.378,-1.123,0.162,0.405
"117",7,-3.19,3.101,-1.659,-0.182,-0.436,0.828,0.272,0.502,-0.857
"106",7,-3.152,3.176,-1.573,-0.204,-0.485,0.723,0.308,0.652,-0.872
"194",7,-3.015,2.219,0.996,-0.455,-1.514,0.047,0.864,0.468,0.657
"271",7,-2.702,3.596,-0.57,-1.041,-0.709,1.009,0.403,0.426,-1.013
